,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
0,JP Morgan Chase - Client Data Analyst (4-8 yrs),JP Morgan Chase,4-8 Yrs,4.0,8.0,,,,Hyderabad / Secunderabad,3.0,iimjobs,4.1,5300.0,"Banking, KYC, Banking Operations",
1,Data Analyst - Bangalore,Schneider Electric,5-10 Yrs,5.0,10.0,₹ 8 - 16L/yr,800000.0,1600000.0,"Bangalore / Bengaluru, Bangalore Rural",4.0,Naukri,4.2,3500.0,"ERP, SAP, Data Analysis",Salary Listed by Company
2,Senior IT ATLAS Data Analyst and Integration Specialist,SAP Labs India Pvt. Ltd.,7-11 Yrs,7.0,11.0,,,,Bangalore / Bengaluru,7.0,Naukri,4.3,1500.0,"data quality, Data analysis, quality management",
3,Consultant Data Analyst,Pfizer,2-6 Yrs,2.0,6.0,,,,Mumbai,3.0,Naukri,4.1,1700.0,"Power Bi, Commercial Operations, Data Management",
4,Senior Data Analyst - Retail Liabilities,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,Mumbai,5.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Manager Technology",
5,JP Morgan Chase - Client Data Analyst (4-9 yrs),JP Morgan Chase,4-9 Yrs,4.0,9.0,,,,Hyderabad / Secunderabad,7.0,iimjobs,4.1,5300.0,"KYC, AML, Banking",
6,Principal Business Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,5-9 Yrs,5.0,9.0,,,,Bangalore / Bengaluru,2.0,Naukri,4.2,1600.0,"Procurement, Relationship management, Computer science",
7,"SENIOR, DATA ANALYST",Walmart Labs,2-6 Yrs,2.0,6.0,,,,Bangalore / Bengaluru,2.0,Naukri,4.0,2100.0,"Supply chain, Data analysis, Data modeling",
8,Data Analysts in Supply chain planning,Hewlett-Packard,6-8 Yrs,6.0,8.0,,,,Bangalore / Bengaluru,5.0,Naukri,4.2,3500.0,"Power Bi, Supply chain Planning, Tableau",
9,Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",
10,Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",
11,Data Analyst - Cx,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",
12,Customer Master Data Analyst,Genpact,2-6 Yrs,2.0,6.0,,,,Bangalore / Bengaluru,3.0,Naukri,3.9,27000.0,"Mdg, CMD, Master Data",
13,"Senior, Data Analyst",Walmart Labs,5-6 Yrs,5.0,6.0,,,,Bangalore / Bengaluru,4.0,Naukri,4.0,2100.0,"Computer science, Data analysis, MS SQL",
14,Data Analyst,Reliance Retail,3-8 Yrs,3.0,8.0,,,,Mumbai,4.0,Naukri,4.0,19600.0,"Power Bi, MIS, Data Analysis",
15,Data Analyst- PSP Transformation,Faurecia,4-6 Yrs,4.0,6.0,,,,Pune,3.0,Naukri,4.0,1100.0,"RPA, Power BI, Power Apps",
16,Senior Data Analyst,Optum Global Solutions (India) Private Limited,12-16 Yrs,12.0,16.0,,,,Bangalore / Bengaluru,6.0,Naukri,4.0,3500.0,"data warehouse, Power BI, Data Analysis",
17,Senior Data Analyst - Cx,IDFC FIRST Bank,3-7 Yrs,3.0,7.0,,,,"Chennai, Pune, New Delhi
													+4 more",11.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Manager Technology",
18,Data Analyst,Amazon,2-4 Yrs,2.0,4.0,₹ 1.8 - 7L/yr (AmbitionBox estimate),180000.0,700000.0,"Delhi/Ncr, Bangalore / Bengaluru",11.0,Naukri,4.1,21700.0,"AWS technologies, Excel, SQL",Estimated by Ambition Box
19,Retail Data Analyst,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Stress testing, Audit compliance, Regulatory reporting",
20,Senior Data Analyst-Credit Cards,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Usage, Test strategy, Analytical",
21,Senior Data Analyst - Cx,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Senior Data Analyst",
22,Data Analyst-Retail Assets,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Retail, Test strategy, Analytical",
23,Senior Data Analyst,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,,,,Mumbai,12.0,Naukri,4.5,2300.0,"Usage, Test strategy, Analytical",
24,FHIR Data Analyst,Infosys Limited,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,4.0,Naukri,3.8,33500.0,"HL7 FHIR implementation, Agile Methodologies, FHIR",
25,Healthcare Data Analyst,Infosys Limited,2-6 Yrs,2.0,6.0,,,,Bangalore / Bengaluru,4.0,Naukri,3.8,33500.0,"PL/SQL, STTM creation, Data mapping",
26,Specialist - Investments,Jardine Lloyd Thompson India Pvt Ltd.,2-5 Yrs,2.0,5.0,₹ 4.754 - 7L/yr (AmbitionBox estimate),475399.99999999994,700000.0,Pune,3.0,Naukri,4.0,558.0,"Data management, RDBMS, Project management",Estimated by Ambition Box
27,JP Morgan Chase - Reference Data Analyst (4-6 yrs),JP Morgan Chase,4-6 Yrs,4.0,6.0,,,,Mumbai,16.0,iimjobs,4.1,5300.0,"Reference Data, IT Business Analyst, IT Jobs in BFSI",
28,Veeva process specialists,Tech Mahindra,5-10 Yrs,5.0,10.0,₹ 7 - 12L/yr,700000.0,1200000.0,Hyderabad / Secunderabad,3.0,Naukri,3.7,28500.0,"CTMS, CDMS, Veeva",Salary Listed by Company
29,Data Analyst/Sr. Analyst - SAS & Python,FedEx,3-8 Yrs,3.0,8.0,₹ 10 - 20L/yr,1000000.0,2000000.0,"Mumbai, Bangalore / Bengaluru",17.0,Naukri,4.2,1100.0,"Predictive Modeling, Logistic Regression, SAS",Salary Listed by Company
30,Data Analyst For SAP Business Warehouse,Siemens Limited,2-6 Yrs,2.0,6.0,,,,Pune,2.0,Naukri,4.2,4200.0,"Automation, SAP, Project management",
31,Data Analyst- SQL,Gainwell Technologies,13-23 Yrs,13.0,23.0,,,,"Chennai, Bangalore / Bengaluru",4.0,Naukri,4.0,83.0,"Query Optimization, Msql, Stored Procedures",
32,Sr. Price & Data Analyst,Stanley Black & Decker,5-8 Yrs,5.0,8.0,,,,Bangalore / Bengaluru,4.0,Naukri,4.0,268.0,"AB Analysis, Pricing, Price Framework",
33,FHIR Data Analyst,Infosys Limited,3-6 Yrs,3.0,6.0,₹ 3.5 - 9.45L/yr (AmbitionBox estimate),350000.0,944999.9999999999,Bangalore / Bengaluru,11.0,Naukri,3.8,33500.0,"Agile Methodologies, CARIN, FHIR",Estimated by Ambition Box
34,Data Analyst - Qlikview / Qliksense,PwC Service Delivery Center,4-8 Yrs,4.0,8.0,,,,Bangalore Rural,3.0,Naukri,3.5,7500.0,"Data Visualization, Data Analyst, QlikView",
35,Healthcare Data Analyst,Infosys Limited,3-8 Yrs,3.0,8.0,,,,Bangalore / Bengaluru,12.0,Naukri,3.8,33500.0,"PL/SQL, STTM creation, Data mapping",
36,Senior Associate - Workday Help - Reporting,TIAA,7-9 Yrs,7.0,9.0,,,,Pune,2.0,Naukri,4.0,529.0,"Data analysis, Predictive modeling, Data quality",
